created,updated,region_id,region_name,languages,country_name,currency,country_phone_code,region_level_guidelines,region_level_guardrails,timezones,date_format
,,,India,"English, Hindi, Kannada, Telugu, Tamil, Malayalam, Odia, Bengali, Marathi, Gujarati, Assamese, Punjabi",India,Rupee,+91,"Avoid slang, sarcasm, or culturally sensitive humor. Use polite, respectful, and neutral tone. Prefer simple sentences suitable for Tier-2/Tier-3 customers",- Maintain professional communication standards. Ensure clear communication. Respect regional languages. Provide local language support. Be mindful of potential network issues or poor call quality in India \n -Trigger calls between 10am to 7pm.,Asia/Kolkata,%d-%m-%Y
,,,United States,English,United States,Dollar,+1,"Avoid slang, sarcasm, or culturally sensitive humor. Use polite, respectful, and neutral tone. Prefer simple sentences suitable for Tier-2/Tier-3 customers",- Maintain professional communication standards. Ensure clear communication. Respect regional languages. Provide local language support. Be mindful of potential network issues or poor call quality \n -Trigger calls between K12 to 7pm.',"America/Los_Angeles, America/New_York, America/Chicago, America/Denver, America/Anchorage, Pacific/Honolulu",%m-%d-%Y
,,,United Arab Emirates,"English, Arabic",United Arab Emirates,Dirham,+971,"Avoid slang, sarcasm, or culturally sensitive humor. Use polite, respectful, and neutral tone. Prefer simple sentences suitable for Tier-2/Tier-3 customers",- Maintain professional communication standards. Ensure clear communication. Respect regional languages. Provide local language support. Be mindful of potential network issues or poor call quality  \n -Trigger calls between 10am to 7pm.',Asia/Dubai,%d-%m-%Y
,,,Saudi Arabia,"English, Arabic",Saudi Arabia,Riyal,+966,"Avoid slang, sarcasm, or culturally sensitive humor. Use polite, respectful, and neutral tone. Prefer simple sentences suitable for Tier-2/Tier-3 customers",- Maintain professional communication standards. Ensure clear communication. Respect regional languages. Provide local language support. Be mindful of potential network issues or poor call quality \n -Trigger calls between 10am to 7pm.',Asia/Riyadh,%d-%m-%Y
